Date,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
192805,124.72,47.61,-99.99,15.81,92.29,12.58,35.38,13.18,28.8,9.88,-99.99,38.02,38.83,118.86,-99.99,9.59,28.9,14.96,73.8,-99.99,44.74,176.32,118.22,37.32,62.52,-99.99,-99.99,46.32,45.03,118.45,154.57,592,6.83,23.36,60.85,-99.99,30.91,354.57,-99.99,50.61,89.81,1.62,66.7,14,26.8,69.59,27.22,27.4,26.16
192806,123.76,48.53,-99.99,16.68,91.82,13.66,35.7,14.65,28.04,9.75,-99.99,39.65,42.96,122.38,-99.99,9.01,28.31,17.92,77.49,-99.99,46.67,179.42,123.72,44.64,60.87,-99.99,-99.99,46.85,45.25,111.11,156.5,631.15,6.55,25.58,60.99,-99.99,31.79,372.26,-99.99,53.53,89.1,1.75,70.88,15.93,26.46,70.11,28.6,28.28,25.7
192807,120.29,46.86,-99.99,15.93,83.45,12.15,36.58,15.74,24.93,9,-99.99,46.87,69.99,117.98,-99.99,9.35,39.85,16.83,72.27,-99.99,44.73,164.66,115.31,36.58,56.3,-99.99,-99.99,45.07,36.75,107.63,154.49,644.26,6.03,23.92,69.83,-99.99,30.12,362.03,-99.99,42.6,90.14,3.95,65.87,15.51,52.79,82.2,34.25,24.26,22.63
192808,119.95,47.36,-99.99,15.94,86.22,13.38,36.81,16.22,25.07,9.03,-99.99,46.27,72.39,119.91,-99.99,8.98,40.64,16.37,74.06,-99.99,44.85,162.95,119.23,38.6,54.7,-99.99,-99.99,44.4,36.1,108.83,152.09,636.03,5.65,23.22,73.71,-99.99,31.96,380.29,-99.99,44.32,89.58,3.95,69.52,15.39,52.84,81.81,34.03,24.78,22.45
192809,121.14,51.44,-99.99,17.91,89.1,13.44,40.56,16.2,27.43,9.01,-99.99,49.88,83.81,130.17,-99.99,9.14,42.29,16.32,80.66,-99.99,48.05,182.99,129.47,43.94,57.42,-99.99,-99.99,47.67,36.76,110.92,161.4,664.99,5.1,26.27,77.8,-99.99,32.03,380.29,-99.99,49.79,92.77,4.11,78.83,17.24,55.45,86.6,35.31,25.94,25.11
192810,120.05,52.27,-99.99,17.91,88.25,16.22,44.27,16.34,30.1,8.87,-99.99,52.98,80.78,134.72,-99.99,9.44,44.45,16.06,84.93,-99.99,49.72,182.33,139.92,46.57,56.33,-99.99,-99.99,48.79,36.31,116.99,167.22,657.74,5.25,25.75,83.72,-99.99,33.17,366.66,-99.99,48.92,92.81,4.15,78.87,17.15,48.97,84.54,34.85,26.35,24.09
192811,125.73,51.5,-99.99,18.53,91.25,14.51,44.16,17.14,32.52,8.54,-99.99,52.64,80.87,141.55,-99.99,9.99,47.08,16.37,90.27,-99.99,50.73,186.12,139.71,43.8,55.66,-99.99,-99.99,50.39,35.41,119.55,163.61,677.23,4.9,27.51,84.5,-99.99,33.66,370.26,-99.99,46.12,91.31,4.87,83.57,16.75,50.96,87.62,34.16,26.58,22.83
192812,127.79,55.71,-99.99,19.59,97.06,15.45,48.84,17.82,37.88,8.72,-99.99,53.74,85.04,157.94,-99.99,10.87,51.39,16.48,103.07,-99.99,58.53,229.86,144.56,62.72,58.81,-99.99,-99.99,57.74,37.65,140.05,199.02,722.45,4.6,29.99,93.88,-99.99,37.74,382.6,-99.99,48.31,99.33,5.45,96.29,18.3,56.46,94.36,36.04,30.09,23.45
192901,125.32,56.56,-99.99,18.78,94.25,14.36,48.2,18.05,36.11,8.63,-99.99,52.39,109.62,161.29,-99.99,10.21,51.6,16.59,106.52,-99.99,60.15,244.17,147.67,63.05,59.31,-99.99,-99.99,58.53,37.36,133.48,201.74,711.49,4.15,28.55,110.04,-99.99,39,376.43,-99.99,48.81,98.99,5.22,95.02,17.61,68.36,93.02,35.93,30.65,20.49
192902,140.09,57.71,-99.99,20.44,97.78,15.01,53.36,18.72,38.46,8.45,-99.99,54.8,112.79,197.97,-99.99,10.07,55.75,16.73,114.57,-99.99,67.42,275.39,148.92,64.14,59.44,-99.99,-99.99,63.36,37.55,122.58,227.83,806.64,3.63,28.69,113.44,-99.99,43.89,378.49,-99.99,51.35,103.4,4.94,91.11,17.57,79.32,95.24,41.46,31.57,20.74
192903,149.08,55.76,-99.99,19.61,92.71,13.91,54.28,17.67,35.75,8.07,-99.99,55.85,111.23,197.58,-99.99,10.29,53.46,18.25,124.31,-99.99,68.05,286.75,148.66,65.27,59.87,-99.99,-99.99,68.5,37.88,121.82,222.83,797.33,3.9,29.84,114.61,-99.99,43.38,380.29,-99.99,54.39,101.58,4.78,88.58,17.55,82.48,90.24,43.45,32.31,19.24
192904,131.82,53.46,-99.99,18.99,88.26,12.84,48.42,16.57,32.78,7.6,-99.99,56.13,108.44,190.04,-99.99,9.52,49.86,18,123.47,-99.99,64.98,300.51,146.47,60.72,60.75,-99.99,-99.99,70.72,35.34,135.74,215.35,823.33,3.4,28.3,121.94,-99.99,42.98,368.2,-99.99,55.15,98.33,4.33,83.92,16.84,83.21,85.98,41.87,32.11,17.82
192905,123.33,56.89,-99.99,21.45,86.09,12.29,48.86,16.38,32.9,7.85,-99.99,57.05,109.81,196.96,-99.99,9.76,51.45,21.17,124.72,-99.99,67.67,303.71,144.51,64.94,59.55,-99.99,-99.99,66.48,34.29,136.84,232.08,851.22,3.3,29.13,130.47,-99.99,45.32,369.75,-99.99,59.33,99.51,4.44,86.63,18.56,82.83,87.18,43.23,32.07,15.9
192906,114.22,54.46,-99.99,19.09,85.53,10.22,45.19,17.5,29.45,7.29,-99.99,51.05,101.29,182,-99.99,8.39,47.68,19.82,108.55,-99.99,60.89,306.22,121.26,56.36,55.54,-99.99,-99.99,58.66,32.59,128.53,242.71,776.59,2.88,27.64,130.51,-99.99,44.13,352.78,-99.99,54.33,101.43,4.14,78.85,17.97,99.69,85.19,39.14,31.27,13.76
192907,111.87,60.64,-99.99,22.7,82.29,14.09,56.42,51.26,40.72,8.58,-99.99,56.87,114.37,210.12,-99.99,11.96,44.98,20.31,115.16,-99.99,64.48,332.83,125.54,110.77,57.8,-99.99,-99.99,69.37,27.78,130.92,352.91,864.12,3.5,34.88,148.46,-99.99,47.93,373.16,10.05,53.22,110.96,11.59,81.39,21.58,90.79,68.95,62.41,90.46,14.47
